Course Code,Course Title,Session,Cr Hrs,Day and Time,Instructor
EE 522 LEC 1,Embedded Systems,16W,3,TR 4:00PM-5:15PM,Muhammad Adeel Ahmed Pasha
EE 523 LEC 1,VLSI Design,16W,3,MW 3:30PM-4:45PM,Shahid MaUd
EE 525 LEC 1,Photovoltaic Devices,16W,3,TR 3:30PM-4:45PM,Nauman Zafar Butt
EE 5512 LEC 1,Power System Operation and Control,16W,3,MW 11:00AM-12:15PM,Raheel Zafar
EE 557 LEC 1,Electricity Markets,16W,3,TR 9:30AM-10:45AM,Hassan Abbas Khan
EE 563 LEC 1,Convex Optimization,16W,3,TR 2:00PM-3:15PM,Hassan Mohy-ud-Din
EMBA 5012 LEC 1,Managerial Accounting and Control Systems,M03,1,SU 2:00PM-4:05PM,Muhammad Junaid Ashraf
EMBA 5012 LEC 2,Managerial Accounting and Control Systems,M03,1,SU 10:55AM-1:00PM,Muhammad Junaid Ashraf
EMBA 5021 LEC 1,Managerial Finance,M03,1,SU 10:55AM-1:00PM,Syed Mubashir Ali
EMBA 5021 LEC 2,Managerial Finance,M03,1,SU 8:30AM-10:35AM,Syed Mubashir Ali
EMBA 5031 LEC 1,Operations and Upply Chain Management,M02,1,SU 8:30AM-10:35AM,Muhammad Shakeel Sadiq Jajja
EMBA 5031 LEC 2,Operations and Upply Chain Management,M02,1,SU 2:00PM-4:05PM,Muhammad Shakeel Sadiq Jajja
EMBA 5033 LEC 1,Innovation and Technology Management,M03,1,SU 8:30AM-10:35AM,Muhammad Adeel Zaffar
EMBA 5033 LEC 2,Innovation and Technology Management,M03,1,SU 2:00PM-4:05PM,Muhammad Adeel Zaffar
EMBA 5051 LEC 1,Managing People,M02,1,SU 4:25PM-6:30PM,Jawad Sarwar Naqvi Syed
EMBA 5051 LEC 2,Managing People,M02,1,SU 10:55AM-1:00PM,Jawad Sarwar Naqvi Syed
EMBA 5053 LEC 1,Leading Organizations,M05,1,SU 10:55AM-1:00PM,Ghulam Ali Aryan
EMBA 5053 LEC 2,Leading Organizations,M05,1,SU 4:25PM-6:30PM,Ghulam Ali Aryan
EMBA 5111 LEC 1,Managerial Economics,M02,1,SU 10:55AM-1:00PM,Choudhry Tanveer Shehzad
EMBA 5111 LEC 2,Managerial Economics,M02,1,SU 2:00PM-4:05PM,Choudhry Tanveer Shehzad
EMBA 6241 LEC 1,Islamic ERics,M05,0,SU 8:30AM-10:35AM,Jawad Sarwar Naqvi Syed
EMBA 6241 LEC 2,Islamic ERics,M05,0,SU 2:00PM-4:05PM,Jawad Sarwar Naqvi Syed
EMBA 6242 LEC 1,Corporate Governance,M05,0,SU 10:55AM-1:00PM,Bushra Naqvi
EMBA 6242 LEC 2,Corporate Governance,M05,0,SU 8:30AM-10:35AM,Bushra Naqvi
EMBA 6304 LEC 1,Business Strategy,M05,1,SU 2:00PM-4:05PM,Ehsan Ul Haque
EMBA 6304 LEC 2,Business Strategy,M05,1,SU 4:25PM-6:30PM,Ehsan Ul Haque
ENGG 100 LEC 1,Design and MeaUrement Lab,16W,2,T 8:00AM-8:50AM,Nauman Zafar Butt
ENGG 100 LEC 2,Design and MeaUrement Lab,16W,2,W 8:00AM-8:50AM,Momin Ayub Uppal
ENGG 100 LEC 3,Design and MeaUrement Lab,16W,2,M 9:00AM-9:50AM,Muhammad Sabieh Anwar
ENGG 100 LEC 4,Design and MeaUrement Lab,16W,2,T 12:00PM-12:50PM,Ammar Ahmed Khan
ENGG 100 LEC 5,Design and MeaUrement Lab,16W,2,R 10:30AM-11:20AM,Qasim Imtiaz
ENGG 100 LAB 1,Design and MeaUrement Lab,16W,2,T 9:00AM-1:50PM,Nauman Zafar Butt
ENGG 100 LAB 2,Design and MeaUrement Lab,16W,2,W 9:00AM-1:50PM,Momin Ayub Uppal
ENGG 100 LAB 3,Design and MeaUrement Lab,16W,2,M 10:00AM-2:50PM,Muhammad Sabieh Anwar
ENGG 100 LAB 4,Design and MeaUrement Lab,16W,2,T 1:00PM-5:50PM,Ammar Ahmed Khan
ENGG 100 LAB 5,Design and MeaUrement Lab,16W,2,R 11:30AM-4:20PM,Qasim Imtiaz
ENGL 1111 LEC 1,Re Word and Re World,16W,4,TR 4:00PM-5:50PM,Furrukh A. Khan
ENGL 2253 LEC 1,"American Dreaming: Reading Race, Nation, and",M16W,4,MW 12:00PM-1:50PM,Saba Pirzadeh
ENGL 2432 LEC 1,Narrative Essays,16W,4,TR 12:00PM-1:50PM,Younis Bin Azeem
ENGL 3111 LEC 1,Literature of Re Muslim World,16W,4,TR 2:00PM-3:50PM,Furrukh A. Khan
ENGL 3151 LEC 1,End of Nature: Disaster and Geopolitics in Enviro,16W,4,MW 10:00AM-11:50AM,Saba Pirzadeh
ENGL 3510 LEC 1,Literary Reory,16W,4,MW 4:00PM-5:50PM,
ENGL 4332 LEC 1,Love trumps Hate: Re Concept of Love in Conte,m16W,4,TR 10:00AM-11:50AM,Farah Hasan Ali
ENV 102 LEC 1,Introduction to Environmental Studies,16W,4,TR 10:00AM-11:50AM,Maryam Ibrahim
ENV 210 LEC 1,MeRods in Environmental Studies,16W,4,TR 3:30PM-5:20PM,Sana Khosa
ENV 322 LEC 1,Environmental Governance,16W,4,TR 10:00AM-11:50AM,Sana Khosa
FINN 100 LEC 1,Principles of Finance,16W,3,MW 12:30PM-1:45PM,Bushra Naqvi
FINN 100 LEC 2,Principles of Finance,16W,3,MW 11:00AM-12:15PM,Bushra Naqvi
FINN 100 LEC 3,Principles of Finance,16W,3,TR 9:30AM-10:45AM,Zainab Mehmood
FINN 100 LEC 4,Principles of Finance,16W,3,TR 2:00PM-3:15PM,Zainab Mehmood
FINN 100 LEC 5,Principles of Finance,16W,3,TR 8:00AM-9:15AM,Salman Khan
FINN 100 LEC 6,Principles of Finance,16W,3,TR 9:30AM-10:45AM,Salman Khan
FINN 200 LEC 1,Intermediate Finance,16W,3,MW 5:00PM-6:15PM,Syed Hashim Mahmood Ali
FINN 222 LEC 1,Introduction to MaRematics of Finance,16W,3,MW 12:30PM-1:45PM,
FINN 242 LEC 1,Islamic Capital Markets and Instruments,16W,3,TR 11:00AM-12:15PM,
FINN 243 LEC 1,Fintech Revolution: Market Disruption and Emer,g16W,3,TR 5:00PM-6:15PM,Syed Hashim Mahmood Ali
FINN 321 LEC 1,Econometrics,16W,3,MW 2:00PM-3:15PM,Syed Zahid Ali
FINN 341A LEC 1,Financial Institutions and Markets,16W,3,MW 9:30AM-10:45AM,Samir Ahmed
FINN 372 LEC 1,Actuarial Sciences and InUrance,16W,3,TR 12:30PM-1:45PM,Nauman Afzal Cheema
FINN 400 LEC 1,Applied Corporate Finance,16W,3,MW 5:00PM-6:15PM,Seyyed Fazal Jawad
FINN 454 LEC 1,Portfolio Management,16W,3,MW 8:00AM-9:15AM,Syed Kumail Abbas Rizvi
FINN 7001 LEC 1,Corporate Finance,16W,3,R 3:00PM-6:00PM,Choudhry Tanveer Shehzad
FINN 7501 LEC 1,Investments Reory and Financial Markets,16W,3,M 11:00AM-2:00PM,
GSL 102 SEM 1,Chinese Language for Beginners (HSK Level 1),16W,4,MW 8:00AM-9:50AM,
GSS 366 LEC 1,"Gender, Nationalism, and Politics: Unpacking me",16W,4,TR 2:00PM-3:50PM,Maria Amir
GSS 367 LEC 1,,"Folklore Futures: Negotiating, Reclaiming, and Re 16W",4,TR 10:00AM-11:50AM,Maria Amir
HIST 124 LEC 1,Re World Since 1453,16W,4,MW 12:00PM-1:50PM,Waqar Zaidi
HIST 124 LEC 2,Re World Since 1453,16W,4,MW 4:00PM-5:50PM,Waqar Zaidi
HIST 127 LEC 1,A Peoples History of Pakistan,16W,4,MW 2:00PM-3:50PM,Ilyas Ahmad ChatRa
HIST 2202 LEC 1,Re Indian Ocean,16W,4,TR 2:00PM-3:50PM,Ameem Lutfi
HIST 2213 LEC 1,Foundations of Modern SouR Asian History,16W,4,MW 1:00PM-2:50PM,Ali Usman Qasmi
HIST 2311 LEC 1,"Nature, Power and Modernity",16W,4,MW 10:00AM-11:50AM,Hassan Haider Karrar
HIST 243 LEC 1,British Raj and Frontier Governmentality,16W,4,TR 12:00PM-1:50PM,Jahanzeb Baloch
HIST 312 LEC 1,Mughal Architecture: Babur to Aurangzeb,16W,4,MW 4:00PM-5:50PM,Nadhra Shahbaz Naeem Khan
HIST 324 LEC 1,China from Deng to Xi,16W,4,TR 12:00PM-1:50PM,Hassan Haider Karrar
HIST 3312 LEC 1,Decoloniality and Decolonization,16W,4,MW 2:00PM-3:50PM,Ali Raza
LANG 1202 LEC 1,Arabic for Quran,16W,4,WF 2:30PM-4:20PM,Hafiz Abdul Qadeer
LANG 122 LEC 1,Introduction to Balochi Language,16W,4,MW 12:00PM-1:50PM,Jahanzeb Baloch
LANG 123 LEC 1,Introduction to Punjabi Language,16W,4,TR 4:00PM-5:50PM,Zahid Hussain
LANG 124 LEC 1,Introduction to Arabic Language,16W,4,WF 4:30PM-6:20PM,Hafiz Abdul Qadeer
LANG 127 LEC 1,Introduction to Persian Language,16W,4,TR 2:00PM-3:50PM,Muhammad Iftikhar
LANG 128 LEC 1,Sindhi for Non-Sindhi Speakers,16W,4,MW 8:00AM-9:50AM,Ashok Kumar Khatri
LANG 129 LEC 1,Pashto for Non-Native Speakers,16W,4,MW 10:00AM-11:50AM,Imad .
LANG 2203 LEC 1,Pashto: Intermediate Proficiency,16W,4,TR 10:00AM-11:50AM,Imad .
LANG 2204 LEC 1,Art of Reading and Writing Punjabi,16W,4,TR 10:00AM-11:50AM,Zahid Hussain
LANG 2205 LEC 1,Sindhi: Intermediate Proficiency,16W,4,TR 8:00AM-9:50AM,Ashok Kumar Khatri
LANG 2206 LEC 1,Contemporary Persian for Social and Professiona,16W,4,TR 4:30PM-6:20PM,Muhammad Iftikhar
LAW 101 LEC 1,Introduction to Legal Reasoning,16W,4,TR 3:00PM-4:50PM,Faiza .
LAW 101 LEC 2,Introduction to Legal Reasoning,16W,4,TR 3:00PM-4:50PM,Madiha Talat
LAW 101 LEC 3,Introduction to Legal Reasoning,16W,4,TR 4:00PM-5:50PM,Aisha Ahmad
LAW 210 LEC 1,Concept of Law,16W,4,MW 11:00AM-12:50PM,Sarah Humayun
LAW 210 LEC 2,Concept of Law,16W,4,TR 4:00PM-5:50PM,Asad Farooq
LAW 223 LEC 1,Commercial Law,16W,4,TR 8:00AM-9:50AM,Faiza .
LAW 223 LEC 2,Commercial Law,16W,4,TR 12:00PM-1:50PM,Sheharyar Sikander Hamid
LAW 224 LEC 1,Property Law,16W,4,MW 3:00PM-4:50PM,Asad Farooq
LAW 224 LEC 2,Property Law,16W,4,MW 3:00PM-4:50PM,
LAW 225 LEC 1,Islamic Legal Reory,16W,4,TR 4:00PM-5:50PM,
LAW 225 LEC 2,Islamic Legal Reory,16W,4,TR 12:00PM-1:50PM,
LAW 232 LEC 1,Public Law,16W,4,MW 10:00AM-11:50AM,Marva Khan
LAW 232 LEC 2,Public Law,16W,4,MW 11:00AM-12:50PM,Adnan Sattar
LAW 320 LEC 1,"Equity, Specific Relief and Trusts",16W,4,TR 4:00PM-5:50PM,
LAW 320 LEC 2,"Equity, Specific Relief and Trusts",16W,4,WF 4:00PM-5:50PM,
LAW 322 LEC 1,Labor Law,16W,4,TR 8:00AM-9:50AM,Madiha Talat
LAW 323 LEC 1,Tax Law,16W,4,TR 4:00PM-5:50PM,
LAW 345 LEC 1,"Crime, Justice, and Society",16W,4,MW 12:00PM-1:50PM,Hiba Akbar
LAW 3502 LEC 1,"Law, Gender, and Legal Culture",16W,4,TR 12:00PM-1:50PM,Ummaiya Zaidi
LAW 353 LEC 1,Human Rights,16W,4,TR 10:00AM-11:50AM,Adnan Sattar
LAW 357 LEC 1,Law and Re City: Governing an Urban Jungle,16W,4,TR 2:00PM-3:50PM,Aisha Ahmad
LAW 3611 LEC 1,Family Law,16W,4,MW 2:00PM-3:50PM,
LAW 3611 LEC 2,Family Law,16W,4,MW 4:00PM-5:50PM,
LAW 3905 LEC 1,Law and International Transport,16W,4,MW 10:00AM-11:50AM,Syeda Zehra Zaidi
LAW 4303B SEM 1,Equality and Anti-Discrimination II,16W,2,F 10:00AM-11:50AM,Sadaf Aziz
LAW 4312 LEC 1,Expression Confined,16W,4,MW 2:00PM-3:50PM,Marva Khan
LAW 470 LEC 1,Evidence,16W,4,TR 10:30AM-12:20PM,Muhammad Azeem
LAW 470 LEC 2,Evidence,16W,4,TR 2:00PM-3:50PM,Muhammad Azeem
LAW 472 LEC 1,Criminal Procedure,16W,4,MW 4:30PM-6:20PM,
LAW 4903 LEC 1,Topics in Law and Economics,16W,4,MW 8:00AM-9:50AM,Uzair Kayani
LAW 4904B SEM 1,Practicum in Environmental Law II,16W,2,F 2:00PM-3:50PM,Asad Farooq
LAW 4913B SEM 1,Street Law,16W,2,F 4:00PM-5:50PM,Angbeen Atif Mirza
LAW 4922 LEC 1,Human Rights Clinic I,16W,4,MW 10:00AM-11:50AM,Sadaf Aziz
LAW 4924 LEC 1,Prison Paralegal Clinic,16W,4,TR 3:00PM-4:50PM,Angbeen Atif Mirza
MAR 100 LEC 1,Pre-calculus,16W,3,MW 2:00PM-3:15PM,
MAR 101 LEC 1,Calculus I,16W,3,MW 2:00PM-3:15PM,Imran Naeem
MAR 101 LEC 2,Calculus I,16W,3,TR 9:30AM-10:45AM,Aftab Ali
MAR 102 LEC 1,Calculus II,16W,3,TR 8:00AM-9:15AM,Masood Hussain Shah
MAR 120 LEC 1,Linear Algebra wiR Differential Equations,16W,3,TR 8:00AM-9:15AM,Ali Ashher Zaidi
MAR 120 LEC 2,Linear Algebra wiR Differential Equations,16W,3,TR 4:30PM-5:45PM,Asim Naseem
MAR 120 LEC 3,Linear Algebra wiR Differential Equations,16W,3,TR 9:30AM-10:45AM,Waqas Ali Azhar
MAR 120 LEC 4,Linear Algebra wiR Differential Equations,16W,3,MW 4:30PM-5:45PM,Asim Naseem
MAR 120H LEC 1,Linear Algebra I (Honours),16W,3,TR 5:00PM-6:15PM,Imran Anwar
MAR 205 LEC 1,Introduction to Analysis I,16W,3,TR 11:30AM-12:45PM,Waqas Ali Azhar
MAR 230 LEC 1,Probability,16W,3,MW 5:00PM-6:15PM,Reza Abdolmaleki
MAR 230 LEC 2,Probability,16W,3,TR 3:30PM-4:45PM,Reza Abdolmaleki
MAR 230 LEC 3,Probability,16W,3,MW 4:00PM-5:15PM,Ijaz Haider Naqvi
MAR 3010 LEC 1,Advanced Calculus,16W,3,MW 4:00PM-5:15PM,Waqas Ali Azhar
MAR 310 LEC 1,Ordinary Differential Equations,16W,3,TR 10:00AM-11:15AM,Ali Ashher Zaidi
MAR 320 LEC 1,Algebra I,16W,3,MW 10:00AM-11:15AM,Shaheen Nazir
MAR 4012 LEC 1,Complex Analysis,16W,3,MW 2:00PM-3:15PM,Ultan Sial
MAR 407 LEC 1,General Topology,16W,3,MW 10:00AM-11:15AM,Haniya Azam
MAR 412 LEC 1,Partial Differential Equations,16W,3,TR 2:00PM-3:15PM,Ali Ashher Zaidi
MAR 445 LEC 1,Operations Research II,16W,3,MW 8:00AM-9:15AM,Kamran Rashid
MAR 449 LEC 1,Quantitative Finance,16W,4,MW 12:00PM-1:30PM,Adnan Khan
MAR 449 LAB 1,Quantitative Finance,16W,4,F 9:00AM-9:50AM,Adnan Khan
MECO 121 LEC 1,Principles of Macroeconomics,16W,3,TR 12:30PM-1:45PM,Sameen Zafar
MECO 121 LEC 2,Principles of Macroeconomics,16W,3,TR 8:00AM-9:15AM,Ummad Mazhar
MECO 121 LEC 3,Principles of Macroeconomics,16W,3,TR 9:30AM-10:45AM,Ummad Mazhar
MECO 121 LEC 4,Principles of Macroeconomics,16W,3,TR 2:00PM-3:15PM,Ummad Mazhar
MECO 121 LEC 5,Principles of Macroeconomics,16W,3,TR 11:00AM-12:15PM,Syed Zahid Ali
MECO 121 LEC 6,Principles of Macroeconomics,16W,3,TR 12:30PM-1:45PM,Syed Zahid Ali
MGMT 142 LEC 1,Principles of Management,16W,3,MW 9:30AM-10:45AM,Fareed Ud Din Farooq Qureshi
MGMT 142 LEC 2,Principles of Management,16W,3,TR 2:00PM-3:15PM,
MGMT 212 LEC 1,Business Communication,16W,3,TR 12:30PM-1:45PM,Aneka Fahima Ufi
MGMT 212 LEC 2,Business Communication,16W,3,TR 3:30PM-4:45PM,Aneka Fahima Ufi
MGMT 212 LEC 3,Business Communication,16W,3,TR 11:00AM-12:15PM,Shezeen Salim Hemani
MGMT 212 LEC 4,Business Communication,16W,3,MW 12:30PM-1:45PM,Mehr Farhan Cheema
MGMT 212 LEC 5,Business Communication,16W,3,MW 9:30AM-10:45AM,
MGMT 242 LEC 1,Business ERics and Corporate Social Responsibil i,16W,3,TR 3:30PM-4:45PM,Asif Iftikhar
MGMT 242 LEC 2,Business ERics and Corporate Social Responsibil i,16W,3,TR 5:00PM-6:15PM,Asif Iftikhar
MGMT 243 LEC 1,Public Administration,16W,3,MW 11:00AM-12:15PM,Mohsin Bashir
MGMT 244 LEC 1,Reforming Re Public Sector,16W,3,TR 11:00AM-12:15PM,Muhammad Ajmal
MGMT 247 LEC 1,Public Financial Management,16W,3,MW 11:00AM-12:15PM,Sajid Siddique
MGMT 252 LEC 1,Logic and Critical Rinking,16W,3,TR 5:00PM-6:15PM,
MGMT 252 LEC 2,Logic and Critical Rinking,16W,3,MW 2:00PM-3:15PM,Razi Allah Lone
MGMT 252 LEC 3,Logic and Critical Rinking,16W,3,MW 3:30PM-4:45PM,Razi Allah Lone
MGMT 252 LEC 4,Logic and Critical Rinking,16W,3,TR 2:00PM-3:15PM,Razi Allah Lone
MGMT 252 LEC 5,Logic and Critical Rinking,16W,3,TR 3:30PM-4:45PM,Razi Allah Lone
MGMT 260 LEC 1,Business Law,16W,3,MW 9:30AM-10:45AM,Ali Ultan
MGMT 260 LEC 2,Business Law,16W,3,MW 11:00AM-12:15PM,Ali Ultan
MGMT 261 LEC 1,Introduction to Policy Analysis,16W,3,MW 8:00AM-9:15AM,
MGMT 283 LEC 1,Fundamentals of Hospitality Management,16W,3,MW 12:30PM-1:45PM,Shireen Waheed
MGMT 321 LEC 1,International Business,16W,3,TR 11:00AM-12:15PM,Salma Zaman
MGMT 346 LEC 1,Sports Management,16W,3,TR 8:00AM-9:15AM,
MGMT 365 LEC 1,Urban Planning and Management,16W,3,TR 3:30PM-4:45PM,
MGMT 373 LEC 1,Personal Effectiveness,16W,3,TR 2:00PM-3:15PM,Adnan Zahid
MGMT 400 LEC 1,Strategic Business Management,16W,3,TR 3:30PM-4:45PM,Salma Zaman
MGMT 400 LEC 2,Strategic Business Management,16W,3,MW 2:00PM-3:15PM,Adnan Zahid
MGMT 462 LEC 1,Modern Rought in Social Policy,16W,3,TR 2:00PM-3:15PM,Muhammad Ahsan Rana
MGMT 481 LEC 1,Entrepreneurship,16W,3,MW 5:00PM-6:15PM,Sahar Arif
MKTG 201 LEC 1,Principles of Marketing,16W,3,MW 11:00AM-12:15PM,Muhammad Asim
MKTG 201 LEC 2,Principles of Marketing,16W,3,TR 11:00AM-12:15PM,Aaminah Zaman Malik
MKTG 201 LEC 3,Principles of Marketing,16W,3,TR 12:30PM-1:45PM,Aaminah Zaman Malik
MKTG 201 LEC 4,Principles of Marketing,16W,3,TR 2:00PM-3:15PM,Khudejah Iqbal Ali
MKTG 322 LEC 1,Sales Force Management,16W,3,MW 11:00AM-12:15PM,Muhammad Luqman Awan
MKTG 322 LEC 2,Sales Force Management,16W,3,MW 12:30PM-1:45PM,Muhammad Luqman Awan
MKTG 323 LEC 1,Channel Management,16W,3,MW 2:00PM-3:15PM,Muhammad Luqman Awan
MKTG 324 LEC 1,Integrated Marketing Communications,16W,3,MW 12:30PM-1:45PM,Aman Abid
MKTG 332 LEC 1,ConUmer Behaviour,16W,3,MW 9:30AM-10:45AM,Saima Mujtaba Rana
MKTG 343 LEC 1,Marketing Models,16W,3,MW 3:30PM-4:45PM,Muhammad Asim
MKTG 344 LEC 1,Data Driven Marketing,16W,3,TR 3:30PM-4:45PM,Khudejah Iqbal Ali
MKTG 392 LEC 1,Brand Management,16W,3,TR 11:00AM-12:15PM,Moeen Naseer Butt
MKTG 392 LEC 2,Brand Management,16W,3,TR 12:30PM-1:45PM,Moeen Naseer Butt
ORSC 201 LEC 1,Organizational Behaviour,16W,3,TR 3:30PM-4:45PM,Fariha Zahid
ORSC 201 LEC 2,Organizational Behaviour,16W,3,MW 2:00PM-3:15PM,
ORSC 201 LEC 3,Organizational Behaviour,16W,3,TR 8:00AM-9:15AM,Faiza Ali
ORSC 341 LEC 1,Human Resource Management,16W,3,TR 9:30AM-10:45AM,Faiza Ali
ORSC 8101 SEM 1,Seminar in Organizational Behavior,16W,3,F 9:00AM-12:00PM,Faiza Ali
ORSC 8201 SEM 1,Seminar in Organization Reory,16W,3,W 11:00AM-2:00PM,Ashar Saleem
PHIL 102 LEC 1,Philosophy Gym,16W,4,TR 10:00AM-11:50AM,Amber Riaz
PHIL 102 LEC 2,Philosophy Gym,16W,4,TR 2:00PM-3:50PM,Amber Riaz
PHIL 132 LEC 1,Introduction to Logic,16W,4,TR 9:00AM-10:50AM,Ali Nosherwan Hamed
PHIL 211 LEC 1,Foundations of Liberal Arts,16W,4,TR 8:00AM-9:50AM,Basit Bilal Koshul
PHIL 335 LEC 1,Topics in Philosophy of Mind,16W,4,TR 12:30PM-2:20PM,Syed Sikander Gilani
PHIL 432 LEC 1,Mohammed Iqbal and Charles Peirce,16W,4,TR 2:00PM-3:50PM,Basit Bilal Koshul
PHY 104 LEC 1,Modern Physics,16W,4,TR 2:00PM-3:50PM,Muhammad Sabieh Anwar
PHY 104 LEC 2,Modern Physics,16W,4,MW 8:00AM-9:50AM,Tajdar Mufti
PHY 223 LEC 1,MaRematical MeRods in Physics and Engineerin,16W,3,MW 2:00PM-3:15PM,Tajdar Mufti
PHY 300 LAB 1,Experimental Physics Lab II,16W,3,F 8:00AM-4:50PM,Muhammad Hamza Humayun
PHY 304 LEC 1,PHY 505/SCI 30 Computational Physics,16W,3,TR 12:30PM-1:45PM,Adam Zaman Chaudhry
PHY 305 LEC 1,Electromagnetic Fields and Waves,16W,3,MW 3:30PM-4:45PM,Adam Zaman Chaudhry
PHY 312 LEC 1,Quantum Mechanics II,16W,3,TR 5:00PM-6:15PM,Rizwan Khalid
PHY 331 LEC 1,"Atomic, Molecular and Laser Physics",16W,3,MW 12:30PM-1:45PM,
PHY 332 LEC 1,Condensed Matter Physics,16W,3,MW 3:30PM-4:45PM,Ammar Ahmed Khan
PHY 417 LEC 1,9Introduction to Quantum Information Science an,16W,3,TR 5:00PM-6:15PM,Muhammad Faryad
PHY 442 LEC 1,YGeneral Relativity,16W,3,TR 10:00AM-11:15AM,Syed Moeez Hassan
PHY 539 LEC 1,Introduction to Quantum Field Reory,16W,3,MW 5:00PM-6:15PM,Rizwan Khalid
POL 100 LEC 1,Introduction to Political Science,16W,4,MW 8:00AM-9:50AM,RaUl Bakhsh Rais
POL 100 LEC 2,Introduction to Political Science,16W,4,TR 10:00AM-11:50AM,Rida Ashfaq
POL 100 LEC 3,Introduction to Political Science,16W,4,TR 2:00PM-3:50PM,Rida Ashfaq
POL 203 LEC 1,Introduction to Political Reory,16W,4,MW 4:00PM-5:50PM,Taimur Rahman
POL 203 LEC 2,Introduction to Political Reory,16W,4,TR 4:00PM-5:50PM,
POL 239 LEC 1,Politics of China,16W,4,MW 12:00PM-1:50PM,Ahmad Yunus Samad
POL 247 LEC 1,YouR Political Activism,16W,4,MW 2:00PM-3:50PM,Farhat Haq
POL 320 LEC 1,Comparative Politics,16W,4,TR 12:00PM-1:50PM,Hafiz Muhammad Salman Rafi
POL 322 LEC 1,Politics of India,16W,4,MW 2:00PM-3:50PM,Mohammad Waseem
POL 3302 LEC 1,Reories of IR,16W,4,TR 4:00PM-5:50PM,Syed Rashid Munir
POL 331 LEC 1,Pakistan's Foreign Relations,16W,4,TR 10:00AM-11:50AM,Shahid Malik
POL 364 LEC 1,Quantitative Research MeRod,16W,4,TR 12:00PM-1:50PM,Syed Rashid Munir
POL 413 LEC 1,Media and Politics,16W,4,TR 4:00PM-5:50PM,Hafiz Muhammad Salman Rafi
POL 443 LEC 1,Political Entrepreneurs,16W,4,MW 10:00AM-11:50AM,Farhat Haq
PSY 100 LEC 1,Introduction to psychology and human behavior,16W,4,MW 12:00PM-1:50PM,Natasha Sohail Barlas
PSY 100 LEC 2,Introduction to psychology and human behavior,16W,4,TR 4:00PM-5:50PM,Yasser Hashmi
PSY 100 LEC 3,Introduction to psychology and human behavior,16W,4,TR 1:30PM-3:20PM,Imran Rashid
PSY 201 LEC 1,Cognition,16W,4,MW 12:30PM-2:20PM,Yasser Hashmi
PSY 220 LEC 1,PsychopaRology,16W,4,MW 2:00PM-3:50PM,Imran Rashid
PSY 321 LEC 1,Life Span Development,16W,4,MW 8:00AM-9:50AM,Natasha Sohail Barlas
REL 210 LEC 1,"Text, Performance and Religion",16W,4,MW 12:00PM-1:50PM,Mian Muhammad Nauman Faizi
REL 224 LEC 1,Introduction to Quranic and Modern Standard Ar,16W,4,MW 4:00PM-5:50PM,Asif Iftikhar
REL 336 LEC 1,Idea of God in Re Study of Religion,16W,4,MW 10:00AM-11:50AM,Irfan Moeen Khan
REL 412 LEC 1,"Religion, ERics and Pragmatism",16W,4,TR 12:00PM-1:50PM,Mian Muhammad Nauman Faizi
SCI 205 LEC 1,Modeling Re Environment,16W,3,MW 9:30AM-10:45AM,Talha Manzoor
SCRM 6201 LEC 1,Logistics Management,MS2,3,SU 4:15PM-6:15PM,"Tabjeel Ashraf
Sheikh Attique Ur Rehman"
SCRM 6202 LEC 1,Upply Management,MS2,3,SU 10:45AM-12:45PM,"Muhammad Shakeel Sadiq Jajja
Raja Usman Khalid"
SCRM 6301 LEC 1,Retailing Strategy and Operations,MS2,3,SU 8:30AM-10:30AM,Hassan Rauf Chaudhry
SOC 100 LEC 1,Introduction to Sociology,16W,4,TR 12:00PM-1:50PM,Nida Yasmeen Kirmani
SOC 100 LEC 2,Introduction to Sociology,16W,4,MW 4:30PM-6:20PM,Umair Javed
SOC 223 LEC 1,Sociology of Education,16W,4,TR 2:00PM-3:50PM,Tania Saeed
SOC 235 LEC 1,Sociology of Religion,16W,4,MW 10:00AM-11:50AM,Amen Jaffer
SOC 243 LEC 1,Politics of Class and Markets,16W,4,MW 12:00PM-1:50PM,Umair Javed
SOC 342 LEC 1,"Culture, Power and Society",16W,4,MW 12:00PM-1:50PM,Amen Jaffer
SOC 364 LEC 1,Masculinities,16W,4,TR 4:00PM-5:50PM,Nida Yasmeen Kirmani
SS 100 LEC 1,Writing and Communication,16W,4,MW 2:00PM-3:50PM,Aneeqa Mazhar Wattoo
SS 100 LEC 2,Writing and Communication,16W,4,MW 3:30PM-5:20PM,Mahrukh Baig
SS 100 LEC 3,Writing and Communication,16W,4,TR 4:00PM-5:50PM,Aamna Khalid
SS 100 LEC 4,Writing and Communication,16W,4,MW 8:00AM-9:50AM,Hajra Ikram Butt
SS 100 LEC 5,Writing and Communication,16W,4,TR 10:00AM-11:50AM,Faiza Asghar Dar
SS 100 LEC 6,Writing and Communication,16W,4,TR 2:00PM-3:50PM,Farhana Shahzad
SS 100 LEC 7,Writing and Communication,16W,4,MW 10:00AM-11:50AM,Hajra Ikram Butt
SS 100 LEC 8,Writing and Communication,16W,4,TR 4:00PM-5:50PM,Furrha Ahsan
SS 100 LEC 9,Writing and Communication,16W,4,MW 12:00PM-1:50PM,Afsheen Salahuddin
SS 100 LEC 10,Writing and Communication,16W,4,TR 11:30AM-1:20PM,Syed Javed Nazir
SS 100 LEC 11,Writing and Communication,16W,4,MW 4:00PM-5:50PM,Furrha Ahsan
